Transaction ID,Date,Product ID,Product Category,Quantity,Unit Price,Payment Method,Store Location,Customer Type,Total Price
TXN100136,2025-03-06,P6310,Home Decor,4,194.92,Cash,Port Harcourt,Walk-in,779.68
TXN100137,2024-12-18,P9005,Electronics,2,68.87,Cash,Abuja,Walk-in,137.74
TXN100138,2024-12-23,P1319,Stationery,2,185.01,Mobile Payment,Enugu,Walk-in,370.02
TXN100139,2023-07-17,P2832,Stationery,5,57.52,Mobile Payment,Port Harcourt,Walk-in,287.6
TXN100140,2025-01-25,P6947,Home Decor,1,197.87,Credit Card,Kano,Online,197.87
TXN100141,2024-01-13,P6038,Electronics,5,135.7,Credit Card,Lagos,Online,678.5
TXN100142,2025-05-18,P4923,Clothing,4,95.38,Bank Transfer,Port Harcourt,Online,381.52
TXN100143,2024-09-21,P1949,Clothing,4,124.61,Credit Card,Abuja,Walk-in,498.44
TXN100144,2025-05-12,P4946,Groceries,4,58.14,Credit Card,Ibadan,Walk-in,232.56
TXN100145,2024-05-24,P2290,Clothing,4,58.46,Credit Card,Kano,Walk-in,233.84
TXN100146,2024-04-13,P2403,Books,4,27.14,Credit Card,Ibadan,Online,108.56
TXN100147,2024-09-04,P8962,Groceries,3,27.24,Debit Card,Abuja,Walk-in,81.72
TXN100148,2023-08-12,P2133,Electronics,2,72.8,Cash,Lagos,Walk-in,145.6
TXN100149,2024-07-30,P9727,Electronics,4,153.76,Cash,Port Harcourt,Online,615.04
TXN100150,2024-04-06,P3060,Groceries,1,123.55,Debit Card,Lagos,Online,123.55
TXN100151,2023-07-26,P3103,Toys,1,25.0,Credit Card,Enugu,Walk-in,25.0
TXN100152,2024-11-14,P8787,Toys,1,171.19,Bank Transfer,Port Harcourt,Walk-in,171.19
TXN100153,2025-01-01,P3705,Books,1,122.27,Credit Card,Abuja,Walk-in,122.27
TXN100154,2024-01-16,P5342,Clothing,3,192.37,Credit Card,Lagos,Walk-in,577.11
TXN100155,2025-03-04,P9645,Electronics,1,135.69,Credit Card,Kano,Online,135.69
TXN100156,2024-03-30,P7932,Electronics,4,39.16,Cash,Abuja,Online,156.64
TXN100157,2024-06-22,P4470,Books,5,97.39,Debit Card,Abuja,Online,486.95
TXN100158,2024-09-12,P9835,Groceries,1,131.46,Mobile Payment,Port Harcourt,Online,131.46
TXN100159,2023-11-02,P4295,Toys,3,10.51,Credit Card,Kano,Walk-in,31.53
TXN100160,2023-09-16,P6107,Books,3,7.91,Cash,Lagos,Walk-in,23.73
TXN100161,2023-10-15,P7537,Clothing,1,30.23,Cash,Lagos,Online,30.23
TXN100162,2023-11-04,P7118,Electronics,5,54.07,Bank Transfer,Enugu,Online,270.35
TXN100163,2023-11-18,P8177,Home Decor,1,88.76,Cash,Enugu,Online,88.76
TXN100164,2025-02-12,P9479,Home Decor,3,100.05,Cash,Kano,Walk-in,300.15
TXN100165,2023-12-06,P8397,Clothing,2,31.92,Cash,Enugu,Walk-in,63.84
TXN100166,2024-06-11,P2982,Stationery,4,136.31,Credit Card,Kano,Online,545.24
TXN100167,2025-02-14,P5061,Books,3,121.25,Debit Card,Abuja,Walk-in,363.75
TXN100168,2024-11-13,P4681,Home Decor,1,62.42,Bank Transfer,Kano,Online,62.42
TXN100169,2025-03-14,P2049,Clothing,4,7.66,Debit Card,Abuja,Walk-in,30.64
TXN100170,2023-12-31,P6539,Books,1,20.14,Credit Card,Enugu,Online,20.14
TXN100171,2024-08-13,P1344,Clothing,1,81.38,Credit Card,Abuja,Walk-in,81.38
TXN100172,2025-04-20,P4770,Clothing,2,35.02,Bank Transfer,Ibadan,Online,70.04
TXN100173,2025-05-09,P4608,Clothing,4,78.48,Cash,Kano,Walk-in,313.92
TXN100174,2024-02-13,P1117,Electronics,4,127.5,Credit Card,Port Harcourt,Walk-in,510.0
TXN100175,2024-03-20,P2163,Stationery,2,111.71,Credit Card,Enugu,Walk-in,223.42
TXN100176,2023-09-01,P1964,Books,3,50.08,Credit Card,Abuja,Walk-in,150.24
TXN100177,2024-04-21,P4750,Books,1,72.05,Debit Card,Ibadan,Online,72.05
TXN100178,2024-11-04,P2104,Electronics,5,124.74,Credit Card,Abuja,Walk-in,623.7
TXN100179,2024-02-05,P1514,Home Decor,1,172.87,Bank Transfer,Ibadan,Online,172.87
TXN100180,2024-09-19,P6413,Stationery,1,151.88,Mobile Payment,Enugu,Walk-in,151.88
TXN100181,2023-10-30,P2160,Home Decor,3,112.91,Cash,Lagos,Walk-in,338.73
TXN100182,2025-02-21,P9423,Home Decor,1,75.65,Credit Card,Port Harcourt,Walk-in,75.65
TXN100183,2023-09-22,P4899,Stationery,2,76.18,Credit Card,Lagos,Online,152.36
TXN100184,2024-04-20,P5562,Books,2,176.49,Credit Card,Ibadan,Online,352.98
TXN100185,2025-05-20,P8953,Electronics,4,12.65,Bank Transfer,Enugu,Online,50.6
TXN100186,2023-10-05,P4510,Toys,5,197.66,Debit Card,Lagos,Walk-in,988.3
TXN100187,2023-10-29,P9834,Stationery,1,134.55,Debit Card,Kano,Walk-in,134.55
TXN100188,2024-08-04,P3167,Books,1,137.82,Mobile Payment,Lagos,Walk-in,137.82
TXN100189,2025-06-18,P8744,Toys,3,12.41,Debit Card,Kano,Online,37.23
TXN100190,2023-09-18,P4981,Toys,2,123.08,Debit Card,Lagos,Walk-in,246.16
TXN100191,2024-06-27,P8749,Books,5,99.53,Credit Card,Abuja,Walk-in,497.65
TXN100192,2023-08-12,P7669,Books,4,25.63,Credit Card,Abuja,Online,102.52
TXN100193,2024-06-12,P4119,Electronics,2,59.19,Debit Card,Ibadan,Online,118.38
TXN100194,2024-11-19,P2545,Groceries,4,178.61,Credit Card,Ibadan,Walk-in,714.44
TXN100195,2024-04-01,P2588,Stationery,3,112.25,Bank Transfer,Abuja,Online,336.75
TXN100196,2023-07-29,P8062,Home Decor,3,85.62,Mobile Payment,Lagos,Online,256.86
TXN100197,2025-03-06,P6804,Clothing,1,19.17,Debit Card,Enugu,Walk-in,19.17
TXN100198,2025-03-07,P7939,Toys,5,144.25,Debit Card,Port Harcourt,Online,721.25
TXN100199,2023-12-19,P7735,Toys,4,142.06,Bank Transfer,Port Harcourt,Walk-in,568.24
TXN100200,2025-04-26,P8651,Home Decor,2,124.74,Mobile Payment,Port Harcourt,Online,249.48
TXN100201,2025-01-25,P1887,Toys,3,104.5,Mobile Payment,Lagos,Online,313.5
TXN100202,2025-03-09,P2612,Toys,1,89.59,Cash,Enugu,Online,89.59
TXN100203,2024-06-22,P1993,Toys,1,120.69,Credit Card,Ibadan,Walk-in,120.69
TXN100204,2025-02-17,P7596,Clothing,4,50.51,Debit Card,Port Harcourt,Online,202.04
TXN100205,2024-10-09,P6559,Groceries,3,188.55,Bank Transfer,Abuja,Online,565.65
TXN100206,2024-07-31,P2790,Groceries,5,119.81,Bank Transfer,Kano,Walk-in,599.05
TXN100207,2024-01-16,P5073,Stationery,3,65.68,Mobile Payment,Ibadan,Walk-in,197.04
TXN100208,2024-07-27,P4139,Groceries,4,92.69,Mobile Payment,Kano,Online,370.76
TXN100209,2024-09-28,P4116,Electronics,4,162.11,Credit Card,Lagos,Walk-in,648.44
TXN100210,2024-05-05,P9786,Books,3,36.52,Debit Card,Ibadan,Walk-in,109.56
TXN100211,2023-12-17,P8350,Home Decor,4,62.1,Credit Card,Abuja,Walk-in,248.4
TXN100212,2024-12-09,P3296,Clothing,3,137.5,Cash,Ibadan,Walk-in,412.5
TXN100213,2023-12-16,P7912,Home Decor,2,66.52,Bank Transfer,Lagos,Walk-in,133.04
TXN100214,2024-05-16,P4006,Groceries,3,159.54,Debit Card,Ibadan,Walk-in,478.62
TXN100215,2024-08-25,P5563,Electronics,3,30.44,Credit Card,Enugu,Online,91.32
TXN100216,2023-10-06,P8579,Electronics,4,153.72,Mobile Payment,Abuja,Walk-in,614.88
TXN100217,2024-06-26,P5092,Clothing,4,18.33,Mobile Payment,Lagos,Online,73.32
TXN100218,2023-07-03,P2235,Electronics,1,7.46,Mobile Payment,Abuja,Walk-in,7.46
TXN100219,2025-04-23,P8260,Groceries,1,180.15,Credit Card,Kano,Online,180.15
TXN100220,2024-06-14,P2604,Groceries,2,118.36,Debit Card,Enugu,Online,236.72
TXN100221,2025-05-29,P1828,Home Decor,1,73.61,Bank Transfer,Enugu,Walk-in,73.61
TXN100222,2025-05-12,P9856,Books,3,50.36,Bank Transfer,Lagos,Walk-in,151.08
TXN100223,2024-08-01,P1241,Groceries,4,125.29,Debit Card,Ibadan,Walk-in,501.16
TXN100224,2023-11-07,P2528,Home Decor,1,104.26,Credit Card,Abuja,Online,104.26
TXN100225,2024-07-12,P4872,Stationery,1,198.36,Bank Transfer,Ibadan,Walk-in,198.36
TXN100226,2024-04-28,P3724,Stationery,2,196.73,Mobile Payment,Lagos,Walk-in,393.46
TXN100227,2024-02-07,P7658,Groceries,2,128.83,Credit Card,Lagos,Online,257.66
TXN100228,2024-03-02,P8956,Home Decor,3,91.36,Debit Card,Enugu,Walk-in,274.08
TXN100229,2024-08-03,P8886,Books,4,100.77,Mobile Payment,Abuja,Online,403.08
TXN100230,2024-07-31,P4502,Books,2,138.08,Cash,Kano,Online,276.16
TXN100231,2023-08-08,P7570,Clothing,1,24.81,Debit Card,Kano,Walk-in,24.81
TXN100232,2023-07-14,P1960,Groceries,4,69.03,Credit Card,Ibadan,Online,276.12
TXN100233,2023-07-10,P3697,Electronics,4,19.68,Mobile Payment,Ibadan,Walk-in,78.72
TXN100234,2024-12-28,P7209,Electronics,1,19.31,Mobile Payment,Kano,Walk-in,19.31
TXN100235,2024-05-31,P1035,Groceries,2,43.19,Debit Card,Kano,Walk-in,86.38
TXN100236,2024-04-20,P7396,Stationery,1,99.62,Debit Card,Kano,Online,99.62
TXN100237,2024-05-27,P5345,Electronics,4,158.03,Bank Transfer,Kano,Online,632.12
TXN100238,2025-01-18,P8454,Clothing,5,99.67,Cash,Kano,Online,498.35
TXN100239,2024-12-28,P5673,Toys,5,70.42,Debit Card,Abuja,Walk-in,352.1
TXN100240,2023-07-05,P7930,Home Decor,3,21.06,Mobile Payment,Kano,Walk-in,63.18
TXN100241,2025-04-02,P8973,Stationery,1,112.31,Mobile Payment,Port Harcourt,Walk-in,112.31
TXN100242,2025-03-02,P3536,Electronics,1,57.9,Credit Card,Kano,Walk-in,57.9
TXN100243,2024-01-12,P4111,Groceries,3,124.91,Debit Card,Kano,Walk-in,374.73
TXN100244,2025-04-01,P5861,Home Decor,3,195.55,Credit Card,Port Harcourt,Walk-in,586.65
TXN100245,2023-12-27,P4566,Groceries,3,26.71,Bank Transfer,Port Harcourt,Walk-in,80.13
TXN100246,2024-12-06,P1958,Toys,4,46.36,Cash,Port Harcourt,Walk-in,185.44
TXN100247,2023-08-29,P9883,Home Decor,1,97.25,Bank Transfer,Port Harcourt,Walk-in,97.25
TXN100248,2025-01-04,P1998,Electronics,4,193.88,Mobile Payment,Port Harcourt,Walk-in,775.52
TXN100249,2024-07-17,P6138,Electronics,3,155.5,Mobile Payment,Enugu,Online,466.5
TXN100250,2025-01-16,P1936,Toys,1,180.15,Debit Card,Lagos,Online,180.15
TXN100251,2024-03-13,P1821,Home Decor,4,70.07,Cash,Abuja,Online,280.28
TXN100252,2024-10-25,P8811,Stationery,4,198.45,Debit Card,Port Harcourt,Online,793.8
TXN100253,2023-10-02,P9238,Clothing,3,25.05,Mobile Payment,Enugu,Online,75.15
TXN100254,2025-01-15,P9701,Books,1,15.33,Debit Card,Lagos,Online,15.33
TXN100255,2023-10-14,P3579,Toys,3,171.84,Credit Card,Enugu,Online,515.52
TXN100256,2024-01-27,P1931,Clothing,1,185.82,Credit Card,Port Harcourt,Walk-in,185.82
TXN100257,2024-05-16,P9320,Stationery,5,22.66,Mobile Payment,Ibadan,Walk-in,113.3
TXN100258,2023-10-19,P2312,Home Decor,2,27.12,Bank Transfer,Port Harcourt,Walk-in,54.24
TXN100259,2023-08-30,P4044,Clothing,2,11.47,Debit Card,Abuja,Walk-in,22.94
TXN100260,2025-05-04,P2122,Books,2,25.38,Credit Card,Port Harcourt,Online,50.76
TXN100261,2023-12-17,P2113,Books,3,45.84,Debit Card,Ibadan,Online,137.52
TXN100262,2024-06-23,P4853,Books,5,194.16,Mobile Payment,Ibadan,Walk-in,970.8
TXN100263,2024-10-17,P7615,Stationery,1,135.23,Debit Card,Lagos,Online,135.23
TXN100264,2024-07-07,P2964,Toys,4,156.82,Mobile Payment,Lagos,Walk-in,627.28
TXN100265,2023-09-04,P5033,Clothing,1,156.35,Mobile Payment,Lagos,Online,156.35
TXN100266,2024-05-10,P1651,Toys,4,109.34,Debit Card,Abuja,Online,437.36
TXN100267,2024-05-14,P2343,Toys,1,160.51,Credit Card,Kano,Online,160.51
TXN100268,2025-06-12,P7868,Clothing,5,121.18,Debit Card,Enugu,Walk-in,605.9
TXN100269,2024-01-19,P9565,Books,4,66.34,Credit Card,Abuja,Walk-in,265.36
TXN100270,2023-09-07,P6183,Groceries,3,114.42,Bank Transfer,Enugu,Walk-in,343.26
TXN100271,2024-10-15,P5272,Toys,1,109.03,Bank Transfer,Port Harcourt,Online,109.03
TXN100272,2023-12-02,P4346,Toys,1,165.57,Mobile Payment,Port Harcourt,Online,165.57
TXN100273,2024-02-15,P6147,Stationery,4,196.44,Credit Card,Abuja,Walk-in,785.76
TXN100274,2024-02-04,P4910,Toys,3,85.15,Bank Transfer,Abuja,Online,255.45
TXN100275,2024-11-26,P5351,Books,3,153.86,Bank Transfer,Lagos,Walk-in,461.58
TXN100276,2024-11-24,P7484,Books,5,24.45,Debit Card,Enugu,Walk-in,122.25
TXN100277,2025-01-27,P3144,Toys,3,156.48,Credit Card,Enugu,Online,469.44
TXN100278,2024-10-15,P5915,Clothing,3,77.43,Credit Card,Ibadan,Online,232.29
TXN100279,2024-11-10,P8491,Stationery,3,12.68,Debit Card,Abuja,Walk-in,38.04
TXN100280,2024-12-31,P6180,Books,2,75.83,Credit Card,Abuja,Online,151.66
TXN100281,2023-10-01,P2188,Stationery,5,124.08,Mobile Payment,Ibadan,Walk-in,620.4
TXN100282,2023-08-21,P1152,Groceries,1,28.25,Mobile Payment,Abuja,Walk-in,28.25
TXN100283,2023-12-11,P8508,Groceries,4,185.19,Bank Transfer,Abuja,Online,740.76
TXN100284,2023-11-06,P2638,Stationery,1,20.15,Credit Card,Ibadan,Walk-in,20.15
TXN100285,2023-12-08,P2200,Electronics,5,186.35,Debit Card,Lagos,Online,931.75
TXN100286,2024-05-16,P9808,Home Decor,4,142.89,Cash,Abuja,Walk-in,571.56
